Gene,Synonymous,HC LoF,ExACtool percentile,top expr tissue (3x more),office of rare diseases
EIF4ENIF1,145,4,9.65E-03,,
MSH2,128,9,9.71E-03,,YES
GRM5,192,8,9.78E-03,brain,
ABCA2,623,11,9.85E-03,,
DNMT3B,176,9,9.92E-03,,
PLEC,1450,57,9.99E-03,,YES
ERCC6L,86,1,1.01E-02,,
PDZD8,163,2,1.01E-02,,
KCNC1,100,1,1.02E-02,brain,
PPARD,74,3,1.03E-02,,
BEST1,135,33,1.03E-02,,YES
MTA1,187,1,1.04E-02,,
DPYSL5,107,1,1.05E-02,brain,
CYBB,61,1,1.05E-02,,
SMARCC2,204,1,1.06E-02,,
ABCA4,384,79,1.07E-02,,YES
NR1I3,80,17,1.07E-02,liver,
DACH2,55,1,1.08E-02,brain,
GLG1,219,6,1.09E-02,,
EMR2,126,35,1.10E-02,,
AHDC1,329,1,1.10E-02,,
MLLT1,118,1,1.11E-02,,
PPFIA3,203,1,1.12E-02,,
PML,220,19,1.12E-02,,
LRP8,144,9,1.13E-02,,
COL5A1,379,6,1.14E-02,,
CLCN2,168,22,1.14E-02,,
LTBP1,282,19,1.15E-02,,
MBD5,207,1,1.16E-02,,
SNPH,92,1,1.16E-02,brain,
TRPV4,189,17,1.17E-02,,YES
GABRD,118,1,1.18E-02,brain,
C11orf30,170,2,1.18E-02,,
TMEM201,108,2,1.19E-02,,
EYA1,108,3,1.20E-02,,YES
SCN9A,55,4,1.21E-02,,
KCNQ5,169,6,1.21E-02,,
MTMR3,169,9,1.22E-02,,
COL4A1,312,6,1.23E-02,,YES
TNS1,318,10,1.23E-02,,
ELANE,66,1,1.24E-02,,YES
AR,114,3,1.25E-02,,YES
NR5A1,93,1,1.25E-02,,
COL6A2,395,31,1.26E-02,,YES
ZNF777,178,1,1.27E-02,,
LCOR,51,1,1.27E-02,,
CACNB2,141,17,1.28E-02,,YES
SYNPO,163,2,1.29E-02,,
TENC1,247,27,1.30E-02,,
SMARCAD1,134,2,1.30E-02,,
ANKRD11,645,3,1.31E-02,,YES
PAH,67,22,1.32E-02,liver,
CACNA1I,390,6,1.32E-02,,
ZNF827,192,1,1.33E-02,,
PRKAG2,102,3,1.34E-02,,
CLCN5,68,2,1.34E-02,,YES
EZH2,103,1,1.35E-02,,YES
HNF4A,119,4,1.36E-02,,YES
MED13,293,2,1.36E-02,,
CHD3,336,14,1.37E-02,,
CDKN2AIP,85,1,1.38E-02,,
RORC,90,3,1.38E-02,,
DPYSL2,109,1,1.39E-02,,
INTS6,117,1,1.40E-02,,
FBN3,556,88,1.41E-02,,
ITPR1,454,12,1.41E-02,,
EFEMP1,73,1,1.42E-02,,YES
RXRA,108,1,1.43E-02,,
PRNP,45,3,1.43E-02,,
CHD5,403,7,1.44E-02,brain,
CRMP1,126,2,1.45E-02,brain,
ACVR2B,103,1,1.45E-02,,
GLI3,320,2,1.46E-02,,YES
POLG,215,22,1.47E-02,,YES
SAP130,166,4,1.47E-02,,
CPS1,229,27,1.48E-02,liver,
CSDE1,85,2,1.49E-02,,
HIC2,156,1,1.50E-02,,
NPC1L1,269,34,1.50E-02,liver,
ABCA12,360,46,1.51E-02,skin,
ABCC11,255,59,1.52E-02,liver,
ZMYND8,213,5,1.52E-02,,
SETDB1,190,5,1.53E-02,,
LRP5,404,16,1.54E-02,,YES
FOXM1,129,10,1.54E-02,,
TBX18,80,1,1.55E-02,,
RARB,96,1,1.56E-02,,
NOTCH2,335,6,1.56E-02,,YES
SCN8A,277,3,1.57E-02,brain,
HIRA,180,1,1.58E-02,thyroid,
FXN,39,1,1.58E-02,,
CYB5R3,56,6,1.59E-02,,
HIVEP2,373,2,1.60E-02,,
WHSC1L1,169,2,1.61E-02,,
CIC,358,8,1.61E-02,,
LEF1,82,3,1.62E-02,,
MBD1,125,6,1.63E-02,,
MME,94,23,1.63E-02,,
TFAP2A,93,2,1.64E-02,skin,YES
SACS,599,72,1.65E-02,,YES
CAND1,170,1,1.65E-02,,
SLC8A2,162,1,1.66E-02,brain,
INO80,238,4,1.67E-02,,
SULF2,182,10,1.67E-02,,
KCNE1,36,3,1.68E-02,,YES
TAF3,144,1,1.69E-02,,
G6PD,82,4,1.69E-02,,
SULF1,128,9,1.70E-02,,
RORA,100,9,1.71E-02,,
POMT1,144,38,1.72E-02,,
ABCB4,158,19,1.72E-02,liver,YES
GRM1,217,6,1.73E-02,brain,
CPT1B,127,30,1.74E-02,,
SETD5,194,2,1.74E-02,,
CSF2RA,108,14,1.75E-02,whole_blood,
COL27A1,346,15,1.76E-02,,
RAP1GAP,157,6,1.76E-02,,
HIPK1,181,1,1.77E-02,,
XKR4,103,1,1.78E-02,nerve_tibial,
MFN2,130,4,1.78E-02,,
TP73,165,4,1.79E-02,,
NR4A2,104,1,1.80E-02,,
SBNO1,207,2,1.81E-02,,
L1CAM,175,1,1.81E-02,,YES
THOC2,125,1,1.82E-02,,
EHMT1,303,2,1.83E-02,,YES
FOXA2,80,1,1.83E-02,,
EIF3A,176,1,1.84E-02,,
WBP11,75,1,1.85E-02,,
GABRA1,76,1,1.85E-02,brain,
NNT,164,5,1.86E-02,,
ZEB2,158,1,1.87E-02,,YES
CDC42BPB,318,2,1.87E-02,,
ABCD1,106,2,1.88E-02,,YES
MED1,171,1,1.89E-02,,
KCNJ11,71,3,1.89E-02,skeletal_muscle,YES
TH,130,8,1.90E-02,adrenal_gland,YES
NEFM,129,5,1.91E-02,brain,
DYNC1H1,780,4,1.92E-02,,
ADARB1,121,2,1.92E-02,,
FRMPD4,169,1,1.93E-02,brain,
ABCC6,264,41,1.94E-02,liver,YES
BCL11A,142,1,1.94E-02,,
ITGB1,99,7,1.95E-02,,
HEPH,130,12,1.96E-02,,
NELL2,106,5,1.96E-02,brain,
ATP7A,96,2,1.97E-02,,
CAPN3,158,41,1.98E-02,skeletal_muscle,YES
SLC4A4,167,1,1.98E-02,pancreas,
GNAI2,87,1,1.99E-02,,YES
ERF,130,1,2.00E-02,,
NTRK2,140,2,2.00E-02,,
TRAPPC9,238,21,2.01E-02,,
ACTL6A,59,1,2.02E-02,,
FBLN1,176,13,2.03E-02,,
AMPD3,159,23,2.03E-02,,
SAFB,162,1,2.04E-02,,
GFAP,98,19,2.05E-02,brain,
APLP2,127,7,2.05E-02,,
COL11A2,248,26,2.06E-02,,YES
SLC7A2,151,21,2.07E-02,,
COL3A1,186,6,2.07E-02,,
GNA11,95,1,2.08E-02,,
SERBP1,60,1,2.09E-02,,
PRKCE,131,1,2.09E-02,,
NPHP4,54,2,2.10E-02,,
DCTN1,211,13,2.11E-02,,YES
BRAF,97,2,2.12E-02,,YES
MSH6,248,26,2.12E-02,,YES
YAP1,58,1,2.13E-02,,
QRICH1,120,2,2.14E-02,,
LRRC4,131,1,2.14E-02,,
ARID1A,350,2,2.15E-02,,
SUPT6H,252,4,2.16E-02,,
ECE1,149,6,2.16E-02,,
SRC,102,1,2.17E-02,,
UPF1,237,3,2.18E-02,,
EFTUD2,162,1,2.18E-02,,YES
SMC1A,109,1,2.19E-02,,
SOBP,123,1,2.20E-02,,
ATP2A2,160,3,2.20E-02,,YES
EIF2B5,93,3,2.21E-02,,YES
TRIM46,130,1,2.22E-02,,
TRPS1,176,3,2.23E-02,,YES
TRPC5,101,1,2.23E-02,,
LBR,78,4,2.24E-02,,YES
SF1,160,1,2.25E-02,,
FGFR3,271,16,2.25E-02,,YES
KCNJ2,70,2,2.26E-02,,YES
FLT4,312,6,2.27E-02,,
ABCB1,170,15,2.27E-02,adrenal_gland,
SLC12A3,191,48,2.28E-02,spleen,
KIAA0430,294,10,2.29E-02,,
EPB41L2,150,10,2.29E-02,,
FURIN,192,2,2.30E-02,,
MAP2K7,124,1,2.31E-02,,
TFAP2D,73,1,2.31E-02,,
PSEN2,108,11,2.32E-02,,
BTAF1,238,3,2.33E-02,,
CHD1,191,4,2.34E-02,,
MYOCD,46,2,2.34E-02,,
CFTR,168,84,2.35E-02,pancreas,YES
UBAP2L,162,1,2.36E-02,,
NCAPH2,129,8,2.36E-02,,
ITGB8,110,2,2.37E-02,nerve_tibial,
MYCN,91,1,2.38E-02,,YES
TNFRSF25,89,5,2.38E-02,,
GNAZ,83,1,2.39E-02,,
GABRA4,88,1,2.40E-02,,
ACTN4,208,2,2.40E-02,,
SLC26A1,173,18,2.41E-02,,
LRRC4C,102,1,2.42E-02,,
NFIL3,70,1,2.43E-02,,
MUTYH,140,30,2.43E-02,,YES
KRT6A,81,2,2.44E-02,skin,
SETX,366,39,2.45E-02,,YES
THRA,64,2,2.45E-02,,
KCNMA1,229,12,2.46E-02,,
NRP2,186,21,2.47E-02,,
MOV10L1,212,38,2.47E-02,,
MAML1,148,1,2.48E-02,,
QKI,66,1,2.49E-02,,
SOS1,169,2,2.49E-02,,YES
C10orf2,116,4,2.50E-02,,YES
HMBS,73,3,2.51E-02,,YES
SYNJ1,192,21,2.51E-02,,
GATA3,107,2,2.52E-02,skin,YES
SMAD1,68,1,2.53E-02,,
SLC12A6,179,14,2.54E-02,,YES
ZNF652,75,1,2.54E-02,,
CLTA,36,1,2.55E-02,,
CPSF7,66,1,2.56E-02,,
GNAL,73,1,2.56E-02,,
KCNC2,118,6,2.57E-02,brain,
KIF11,122,1,2.58E-02,,
SKIL,91,3,2.58E-02,,
BNC1,143,1,2.59E-02,,
MYO7A,410,65,2.60E-02,,YES
ZC3H10,67,1,2.60E-02,,
XPO4,134,1,2.61E-02,,
FOXP3,43,1,2.62E-02,,
ANKRD17,335,2,2.62E-02,,
NR0B1,58,1,2.63E-02,adrenal_gland,
GRAMD4,128,1,2.64E-02,,
EXOC7,132,18,2.65E-02,,
DCX,37,1,2.65E-02,brain,YES
LYN,90,1,2.66E-02,,
SNRK,122,1,2.67E-02,,
NFRKB,244,15,2.67E-02,,
TCF7L2,151,10,2.68E-02,,
NMNAT2,61,2,2.69E-02,brain,
WDR20,99,1,2.69E-02,,
PAX8,83,4,2.70E-02,thyroid,YES
HNRNPUL1,133,2,2.71E-02,,
IRF2BP1,98,1,2.71E-02,,
KCNA2,81,1,2.72E-02,,
RANBP3,142,1,2.73E-02,,
ABCA3,389,26,2.74E-02,lung,
PARP8,139,10,2.74E-02,,
ZNF445,142,1,2.75E-02,,
DEDD,55,1,2.76E-02,,
SMOX,116,4,2.76E-02,,
PAX5,89,1,2.77E-02,spleen,
XKR7,73,1,2.78E-02,brain,
GCH1,49,2,2.78E-02,liver,YES
FASN,666,4,2.79E-02,,
GDNF,35,1,2.80E-02,,YES
TRIM33,133,1,2.80E-02,,YES
CPEB1,81,1,2.81E-02,,
SLC12A4,243,28,2.82E-02,,
COL4A6,169,16,2.82E-02,esophagus,
CHD7,411,4,2.83E-02,,YES
KCNH6,197,47,2.84E-02,,
JMJD1C,324,2,2.85E-02,,
RAB11FIP4,111,2,2.85E-02,brain,
TKTL1,100,2,2.86E-02,,
ZBED4,272,2,2.87E-02,,
ZC3H14,130,11,2.87E-02,,
KCND3,106,3,2.88E-02,,YES
ATP13A2,262,22,2.89E-02,,YES
SLC26A9,179,15,2.89E-02,,
MTSS1,136,1,2.90E-02,,
GRM8,141,11,2.91E-02,,
PTCH2,210,34,2.91E-02,,YES
MYH14,320,12,2.92E-02,,
SOCS6,95,1,2.93E-02,,
LHX6,63,1,2.93E-02,,
SETD2,293,12,2.94E-02,,
DLL4,124,1,2.95E-02,,
FKBP8,107,1,2.96E-02,whole_blood,
MOV10,151,7,2.96E-02,,
SETBP1,257,4,2.97E-02,,YES
DHRS3,53,1,2.98E-02,,
NR3C2,133,7,2.98E-02,,YES
ABCB9,178,11,2.99E-02,,
RALGAPA1,187,6,3.00E-02,,
CACNA1S,322,32,3.00E-02,skeletal_muscle,YES
EPB41L4B,121,3,3.01E-02,,
ONECUT1,90,1,3.02E-02,,
CTBP2,222,32,3.02E-02,,
ADCY9,319,9,3.03E-02,,
NACC1,111,1,3.04E-02,,
CBS,143,17,3.05E-02,,YES
IPO7,133,1,3.05E-02,,
VWF,497,54,3.06E-02,,YES
FBXL16,95,1,3.07E-02,brain,
FOXA3,68,1,3.07E-02,,
ABCF2,108,4,3.08E-02,,
PSMD2,136,1,3.09E-02,,
DGCR8,140,1,3.09E-02,,YES
GANAB,181,11,3.10E-02,,
PRPF3,79,1,3.11E-02,,
VDR,65,4,3.11E-02,,
ATP2B4,193,13,3.12E-02,,
SERPINF2,101,4,3.13E-02,liver,YES
EIF2B4,103,6,3.13E-02,,YES
ABCB5,193,67,3.14E-02,,
GAA,212,41,3.15E-02,,
SLC26A11,154,29,3.16E-02,,
ENG,123,2,3.16E-02,,
LRP4,319,19,3.17E-02,,YES
ZIC1,92,1,3.18E-02,brain,
PHKA1,106,12,3.18E-02,,
CHST1,72,1,3.19E-02,,
ZMYM3,148,1,3.20E-02,,
DHCR24,88,2,3.20E-02,adrenal_gland,YES
ACTG1,228,6,3.21E-02,,
KCNH3,196,5,3.22E-02,brain,
SLITRK1,109,1,3.22E-02,brain,YES
SUV420H1,129,1,3.23E-02,,
KCNH5,154,8,3.24E-02,,
C17orf85,59,1,3.24E-02,,
PYGB,206,30,3.25E-02,,
NCKAP1,142,1,3.26E-02,,
TNFRSF1A,99,6,3.27E-02,,
PRDM1,126,1,3.27E-02,,
SQSTM1,128,11,3.28E-02,,
KCNJ1,58,11,3.29E-02,,YES
STC2,57,1,3.29E-02,,
CTCF,124,1,3.30E-02,,
MYO1C,245,26,3.31E-02,,
ZNFX1,278,12,3.31E-02,,
IRF6,54,1,3.32E-02,,YES
KRT18,67,5,3.33E-02,,
ITGB2,217,16,3.33E-02,whole_blood,YES
RPTOR,294,2,3.34E-02,,
PHF12,170,6,3.35E-02,,
SPAST,86,2,3.36E-02,,
ATP6V0A4,133,35,3.36E-02,skin,YES
CENPI,59,1,3.37E-02,,
ESRRG,80,3,3.38E-02,,
CPT1A,154,9,3.38E-02,,
ABCA7,445,112,3.39E-02,,
SATB2,123,1,3.40E-02,colon,
ATP7B,253,55,3.40E-02,,
NR4A3,76,2,3.41E-02,,YES
ATP6AP1,60,1,3.42E-02,,
MTMR4,166,5,3.42E-02,,
SLC2A13,89,1,3.43E-02,,
PRPF4B,133,1,3.44E-02,,
KDM2A,171,1,3.44E-02,,
FOXI1,70,2,3.45E-02,,YES
HDAC6,128,1,3.46E-02,,
ARIH1,79,1,3.47E-02,,
ZNF423,264,2,3.47E-02,,
ALKBH5,83,1,3.48E-02,,
PLS3,61,1,3.49E-02,,
STXBP1,89,1,3.49E-02,brain,
PPP2R5E,72,1,3.50E-02,,
PRF1,122,13,3.51E-02,,YES
RYR3,769,36,3.51E-02,,
TFAP2C,70,1,3.52E-02,skin,
GRM4,187,5,3.53E-02,brain,
COLEC12,123,2,3.53E-02,,
EFNB2,63,1,3.54E-02,,
COL13A1,130,18,3.55E-02,,
PIK3AP1,126,1,3.55E-02,,
CCT3,82,1,3.56E-02,,
AGL,192,60,3.57E-02,skeletal_muscle,
NOTCH3,371,20,3.58E-02,,YES
SEC61A1,74,1,3.58E-02,,
STAT3,108,3,3.59E-02,,
LARP4B,127,1,3.60E-02,,
MYH2,229,34,3.60E-02,skeletal_muscle,YES
GAPVD1,207,5,3.61E-02,,
TAF5L,114,1,3.62E-02,,
MED13L,311,3,3.62E-02,,YES
CCDC120,70,3,3.63E-02,,
PPHLN1,73,15,3.64E-02,,
VHL,38,3,3.64E-02,,YES
C14orf80,73,10,3.65E-02,,
LAS1L,70,2,3.66E-02,,
PRKG1,118,2,3.67E-02,,
EPB41,107,18,3.67E-02,,
KCNH1,163,6,3.68E-02,brain,
ONECUT2,91,1,3.69E-02,,
GATA1,51,1,3.69E-02,whole_blood,
SIX2,52,1,3.70E-02,,
COL7A1,474,80,3.71E-02,,YES
GRID2,161,3,3.71E-02,brain,
TRIM9,115,1,3.72E-02,brain,
ZMIZ2,169,2,3.73E-02,,
TMEM115,65,1,3.73E-02,,
NKX2-5,64,2,3.74E-02,heart,YES
NRF1,73,1,3.75E-02,,
INSR,271,15,3.75E-02,,
SH3BP2,141,15,3.76E-02,,
EXT2,133,17,3.77E-02,,
MGAT3,119,3,3.78E-02,,
ACAN,361,8,3.78E-02,artery_aorta,YES
ABCC3,314,47,3.79E-02,,
HNF1B,74,3,3.80E-02,,
DDHD1,118,12,3.80E-02,,
ZNF296,104,1,3.81E-02,,
SCN10A,321,58,3.82E-02,,
ANKRD34A,82,1,3.82E-02,brain,
ALDOA,95,8,3.83E-02,,
INS,23,2,3.84E-02,pancreas,YES
KRT5,125,9,3.84E-02,skin,YES
MEF2D,98,1,3.85E-02,,
STAT6,129,9,3.86E-02,,
KCNJ6,62,1,3.86E-02,brain,
DHCR7,145,23,3.87E-02,,
ABCA1,363,36,3.88E-02,,YES
MAPK8IP1,114,1,3.89E-02,,
EBF3,111,1,3.89E-02,,
LPHN1,336,4,3.90E-02,,
TLX3,56,1,3.91E-02,,
VLDLR,131,13,3.91E-02,,YES
RANBP9,96,1,3.92E-02,,
SCUBE3,137,4,3.93E-02,,
FBXL14,100,1,3.93E-02,,
NTRK3,166,5,3.94E-02,,
CUL4A,118,1,3.95E-02,,
NTRK1,166,16,3.95E-02,,YES
MNT,97,2,3.96E-02,,
PROX1,105,1,3.97E-02,liver,
FBLN5,72,2,3.98E-02,,
TRAM2,55,1,3.98E-02,,
NR1D1,137,9,3.99E-02,,
TJAP1,100,15,4.00E-02,,
MKL2,204,8,4.00E-02,,
CRB1,207,27,4.01E-02,brain,YES
LRP6,207,10,4.02E-02,,
NEUROD2,59,1,4.02E-02,brain,
GPKOW,52,1,4.03E-02,,
VANGL2,113,2,4.04E-02,,
GJC1,51,1,4.04E-02,,
ZDHHC5,95,1,4.05E-02,,
SLC26A5,93,16,4.06E-02,,
TRRAP,726,5,4.06E-02,,
FBXO18,189,14,4.07E-02,,
GALT,95,18,4.08E-02,,
PAX6,67,3,4.09E-02,brain,YES
KPNB1,112,1,4.09E-02,,
C19orf12,42,1,4.10E-02,,
ESR2,131,22,4.11E-02,adrenal_gland,
TMEM200A,77,3,4.11E-02,adrenal_gland,
MYH7,381,25,4.12E-02,,YES
JARID2,251,6,4.13E-02,,
OTX1,59,1,4.13E-02,skin,
ABCA13,661,187,4.14E-02,,
NDST1,188,2,4.15E-02,,
MLLT3,85,2,4.15E-02,,
MSH5,126,28,4.16E-02,,
INF2,244,6,4.17E-02,,
TNS3,313,9,4.17E-02,,
IHH,81,2,4.18E-02,colon,YES
RFX4,121,1,4.19E-02,brain,
ADNP2,207,10,4.20E-02,,
SPG20,89,20,4.20E-02,,YES
CTSB,126,18,4.21E-02,,
BRF1,190,10,4.22E-02,,
PYGM,144,34,4.22E-02,skeletal_muscle,
ABCC8,325,38,4.23E-02,,YES
KCNQ4,114,5,4.24E-02,,
SLC3A2,92,15,4.24E-02,,
SF3A3,67,1,4.25E-02,,
DDR2,138,7,4.26E-02,,YES
SLC7A3,68,2,4.26E-02,,
KRT72,110,16,4.27E-02,,
ARC,67,1,4.28E-02,,
DDR1,162,20,4.29E-02,,
ALAS1,103,7,4.29E-02,adrenal_gland,
SLC26A8,144,27,4.30E-02,whole_blood,
FZR1,116,1,4.31E-02,,
MBP,84,9,4.31E-02,,
LDB2,62,1,4.32E-02,,
INHBA,76,1,4.33E-02,,
PLK2,106,1,4.33E-02,spleen,
PCYT1B,49,1,4.34E-02,brain,
SMPD1,131,20,4.35E-02,,
ACVR1B,88,2,4.35E-02,,
GNE,85,15,4.36E-02,,YES
ABCA5,199,61,4.37E-02,,
GNAI1,67,1,4.37E-02,,
BANP,125,2,4.38E-02,,
SMPD4,169,21,4.39E-02,,
ATP6V0A1,120,9,4.40E-02,,
RGMA,117,5,4.40E-02,,
ABCC4,218,25,4.41E-02,,
GH1,58,5,4.42E-02,,YES
RNF8,50,1,4.42E-02,,
COL6A1,272,13,4.43E-02,,YES
TRAF6,57,1,4.44E-02,,
FOXK2,169,7,4.44E-02,,
GPM6A,42,1,4.45E-02,brain,
TPM1,76,7,4.46E-02,heart,
ADARB2,166,5,4.46E-02,,
ALPL,113,22,4.47E-02,whole_blood,YES
SMARCA1,78,3,4.48E-02,,
EPB41L1,137,7,4.49E-02,,
RUNX2,93,4,4.49E-02,,YES
RFX1,206,2,4.50E-02,,
TPTE,119,46,4.51E-02,stomach,
SLC20A2,135,4,4.51E-02,,YES
MYO9A,323,35,4.52E-02,,
CASKIN2,248,2,4.53E-02,,
TRIP12,251,2,4.53E-02,,
C20orf112,111,2,4.54E-02,,
VIM,73,2,4.55E-02,,
EGFR,257,6,4.55E-02,,
LEO1,79,2,4.56E-02,,
GPR6,72,1,4.57E-02,brain,
TEK,183,2,4.57E-02,,
PRMT1,91,1,4.58E-02,,
KIAA1432,239,13,4.59E-02,,
KCNJ15,65,4,4.60E-02,whole_blood,
DCAF15,132,3,4.60E-02,,
ACACA,276,11,4.61E-02,,
PID1,45,1,4.62E-02,,
RHBDD2,64,1,4.62E-02,,
INHA,73,2,4.63E-02,adrenal_gland,
GLB1,95,21,4.64E-02,,YES
TEX10,95,6,4.64E-02,,
TAGLN,35,1,4.65E-02,,
CAV3,35,4,4.66E-02,,YES
GBX2,52,1,4.66E-02,brain,
PHOX2B,60,1,4.67E-02,colon,
TRIB2,77,1,4.68E-02,,
CLCN7,207,8,4.68E-02,,YES
CDK5R1,69,1,4.69E-02,brain,
KIAA0232,180,7,4.70E-02,,
DACH1,84,1,4.71E-02,,
SRPR,95,7,4.71E-02,,
DNMT1,306,5,4.72E-02,,
TNPO1,115,1,4.73E-02,,
GPHN,102,2,4.73E-02,,YES
ZZZ3,94,3,4.74E-02,,
MBD3,98,2,4.75E-02,,
PAPD7,103,1,4.75E-02,,
INTS5,170,6,4.76E-02,,
ABCC9,201,32,4.77E-02,,YES
FSCN1,98,1,4.77E-02,,
MYO15A,575,114,4.78E-02,,
NCDN,129,3,4.79E-02,brain,
SALL1,221,2,4.80E-02,,
BEND3,196,5,4.80E-02,,
FAM160B1,115,1,4.81E-02,,
PTPN11,73,2,4.82E-02,,YES
ZNF407,383,2,4.82E-02,,
DPF1,83,2,4.83E-02,brain,
